ModemTime,Longitude,Latitude
2022-05-04 06:12:39.010,"439,074,866","204,007,683"
2022-05-04 06:13:38.000,"439,074,866","204,007,683"
2022-05-04 06:17:58.000,"439,074,866","204,007,683"
2022-05-04 06:17:58.010,"439,074,866","204,007,683"
2022-05-04 06:17:59.000,"439,074,866","204,007,683"
2022-05-04 06:18:03.000,"439,074,866","204,007,683"
2022-05-04 06:18:04.000,"439,074,866","204,007,683"
2022-05-04 06:24:51.000,"439,075,466","204,006,716"
2022-05-04 06:24:51.010,"439,075,466","204,006,716"
2022-05-04 06:25:18.000,"439,075,466","204,006,716"
2022-05-04 06:25:18.010,"439,075,466","204,006,716"
2022-05-04 06:25:31.000,"439,075,166","20,400,705"
2022-05-04 06:25:31.010,"439,075,166","20,400,705"
2022-05-04 06:25:50.000,"439,075,099","20,400,705"
2022-05-04 06:25:50.010,"439,075,099","20,400,705"
2022-05-04 06:26:28.000,"439,075,099","20,400,705"
2022-05-04 06:26:28.010,"439,075,099","20,400,705"
2022-05-04 06:26:28.020,"439,075,099","20,400,705"
2022-05-04 06:26:40.000,"439,075,099","20,400,705"
2022-05-04 06:26:40.010,"439,075,099","20,400,705"
2022-05-04 07:26:47.000,"439,075,099","20,400,705"
2022-05-04 07:45:26.000,"439,074,933","204,006,933"
2022-05-04 07:45:27.000,"439,074,933","204,006,933"
2022-05-04 07:45:27.010,"439,074,933","204,006,933"
2022-05-04 07:45:33.000,"4,390,748","204,007,083"
2022-05-04 07:45:34.000,"4,390,748","204,007,083"
2022-05-04 08:24:23.000,"439,074,716","204,006,733"
2022-05-04 08:24:23.010,"439,074,716","204,006,733"
2022-05-04 08:24:23.020,"439,074,716","204,006,733"
2022-05-04 08:24:35.000,"439,075,299","204,007,933"
2022-05-04 08:24:40.000,"439,075,216","2,040,087"
2022-05-04 08:25:10.000,"43,907,345","204,014,316"
2022-05-04 08:25:40.000,"43,907,345","204,014,316"
2022-05-04 08:25:53.000,"439,073,383","2,040,154"
2022-05-04 08:26:10.000,"439,071,966","2,040,166"
2022-05-04 08:26:40.000,"439,050,583","204,003,049"
2022-05-04 08:27:10.000,"439,017,133","2,039,788"
